#plotCorrelation --outFileCorMatrix
	'SRR5479623.coverage'	'SRR5479624.coverage'	'SRR2147247.coverage'	'SRR6956533.coverage'	'SRR6956534.coverage'
'SRR5479623.coverage'	1.0000	0.9645	0.5376	0.1760	0.1381
'SRR5479624.coverage'	0.9645	1.0000	0.5066	0.1443	0.1087
'SRR2147247.coverage'	0.5376	0.5066	1.0000	0.5562	0.5215
'SRR6956533.coverage'	0.1760	0.1443	0.5562	1.0000	0.8336
'SRR6956534.coverage'	0.1381	0.1087	0.5215	0.8336	1.0000
