pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.33	14710	11932435	811.18
9.60	7.03	14710	11932435	811.18
9.30	6.73	14710	11932435	811.18
9.00	6.52	17575	14692066	835.96
8.70	6.22	17575	14692066	835.96
8.40	5.92	17575	14692066	835.96
8.10	5.71	21034	18127775	861.83
7.80	5.41	21034	18127775	861.83
7.50	5.11	21034	18127775	861.83
7.20	4.91	25446	22586293	887.62
6.90	4.61	25446	22586293	887.62
6.60	4.31	25446	22586293	887.62
6.30	4.11	31121	28452914	914.27
6.00	3.81	31121	28452914	914.27
5.70	3.51	31121	28452914	914.27
5.40	3.32	39308	36912360	939.05
5.10	3.02	39308	36912360	939.05
4.80	2.75	51122	49482138	967.92
4.50	2.55	51122	49482138	967.92
4.20	2.25	51122	49482138	967.92
3.90	2.08	69623	69669387	1000.67
3.60	1.78	69623	69669387	1000.67
3.30	1.52	98692	103482463	1048.54
3.00	1.34	98692	103482463	1048.54
2.70	1.04	98692	103482463	1048.54
2.40	0.91	143875	162518385	1129.58
2.10	0.61	143875	162518385	1129.58
1.80	0.51	210628	267684991	1270.89
1.50	0.21	210628	267684991	1270.89
1.20	0.13	302083	453309480	1500.61
0.90	0.00	412512	773092641	1874.11
0.60	0.00	412512	773092641	1874.11
0.30	0.00	490463	1303197066	2657.08
