pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.54	22220	20414157	918.73
9.60	7.24	22220	20414157	918.73
9.30	6.94	22220	20414157	918.73
9.00	6.64	22220	20414157	918.73
8.70	6.42	25204	24273283	963.07
8.40	6.12	25204	24273283	963.07
8.10	5.82	25204	24273283	963.07
7.80	5.58	29112	29130747	1000.64
7.50	5.30	29112	29130747	1000.64
7.20	5.00	29112	29130747	1000.64
6.90	4.70	29112	29130747	1000.64
6.60	4.49	34065	35400404	1039.20
6.30	4.19	34065	35400404	1039.20
6.00	3.89	34065	35400404	1039.20
5.70	3.69	40767	43976739	1078.73
5.40	3.39	40767	43976739	1078.73
5.10	3.09	40767	43976739	1078.73
4.80	2.88	50221	56069248	1116.45
4.50	2.60	50221	56069248	1116.45
4.20	2.30	50221	56069248	1116.45
3.90	2.09	64844	74300636	1145.84
3.60	1.82	64844	74300636	1145.84
3.30	1.52	64844	74300636	1145.84
3.00	1.37	88529	103565302	1169.85
2.70	1.07	88529	103565302	1169.85
2.40	0.77	88529	103565302	1169.85
2.10	0.65	136286	157328232	1154.40
1.80	0.35	136286	157328232	1154.40
1.50	0.23	260074	279954419	1076.44
1.20	0.00	260074	279954419	1076.44
0.90	0.00	591911	657237410	1110.37
0.60	0.00	591911	657237410	1110.37
0.30	0.00	683322	1676866002	2453.99
