pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.53	201	133468	664.02
9.60	5.23	201	133468	664.02
9.30	5.06	280	168633	602.26
9.00	4.76	280	168633	602.26
8.70	4.46	280	168633	602.26
8.40	4.16	280	168633	602.26
8.10	4.06	500	245805	491.61
7.80	3.76	500	245805	491.61
7.50	3.46	500	245805	491.61
7.20	3.17	1104	449509	407.16
6.90	3.15	1104	449509	407.16
6.60	2.85	1104	449509	407.16
6.30	2.55	1104	449509	407.16
6.00	2.35	3148	1132961	359.90
5.70	2.33	3148	1132961	359.90
5.40	2.03	3148	1132961	359.90
5.10	1.73	3148	1132961	359.90
4.80	1.67	9837	3409348	346.58
4.50	1.57	9837	3409348	346.58
4.20	1.27	9837	3409348	346.58
3.90	1.10	32638	11999639	367.66
3.60	1.10	32638	11999639	367.66
3.30	0.84	32638	11999639	367.66
3.00	0.64	107164	45106558	420.91
2.70	0.64	107164	45106558	420.91
2.40	0.44	107164	45106558	420.91
2.10	0.27	318548	165848666	520.64
1.80	0.27	318548	165848666	520.64
1.50	0.04	318548	165848666	520.64
1.20	0.00	761198	570545853	749.54
0.90	0.00	761198	570545853	749.54
0.60	0.00	858995	1574957046	1833.49
0.30	0.00	858995	1574957046	1833.49
