pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.33	15539	12142328	781.41
9.60	7.03	15539	12142328	781.41
9.30	6.73	15539	12142328	781.41
9.00	6.48	18558	14938972	804.99
8.70	6.23	18558	14938972	804.99
8.40	5.93	18558	14938972	804.99
8.10	5.64	22616	18651272	824.69
7.80	5.42	22616	18651272	824.69
7.50	5.12	22616	18651272	824.69
7.20	4.84	27498	23457072	853.05
6.90	4.62	27498	23457072	853.05
6.60	4.32	27498	23457072	853.05
6.30	4.08	34405	30228740	878.61
6.00	3.83	34405	30228740	878.61
5.70	3.53	34405	30228740	878.61
5.40	3.35	43978	39901511	907.31
5.10	3.05	43978	39901511	907.31
4.80	2.75	43978	39901511	907.31
4.50	2.57	58275	54661032	937.98
4.20	2.27	58275	54661032	937.98
3.90	2.05	80020	78430221	980.13
3.60	1.82	80020	78430221	980.13
3.30	1.52	80020	78430221	980.13
3.00	1.38	113183	118251624	1044.78
2.70	1.08	113183	118251624	1044.78
2.40	0.96	162866	185981332	1141.93
2.10	0.66	162866	185981332	1141.93
1.80	0.55	231313	300309626	1298.28
1.50	0.25	231313	300309626	1298.28
1.20	0.17	319598	491044300	1536.44
0.90	0.00	421828	803838721	1905.61
0.60	0.00	421828	803838721	1905.61
0.30	0.00	493170	1303173357	2642.44
