## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT Output/BAM/SRR5479623.filtered.bam --OUTPUT Output/BAM/SRR5479623.removeddup.bam --METRICS_FILE logs/SRR5479623_picard.out --REMOVE_DUPLICATES true --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 28 00:58:01 CET 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	24363985	0	0	0	5072323	0	0,208189	50074441

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	15361847	15361847
2.0	1,61474	3158632	3158632
3.0	1,992646	617562	617562
4.0	2,22496	117462	117462
5.0	2,367773	22494	22494
6.0	2,455565	5177	5177
7.0	2,509535	1650	1650
8.0	2,542712	924	924
9.0	2,563108	642	642
10.0	2,575646	503	503
11.0	2,583353	442	442
12.0	2,588092	335	335
13.0	2,591004	287	287
14.0	2,592795	243	243
15.0	2,593896	218	218
16.0	2,594572	227	227
17.0	2,594988	160	160
18.0	2,595244	167	167
19.0	2,595401	134	134
20.0	2,595498	147	147
21.0	2,595557	100	100
22.0	2,595594	119	119
23.0	2,595616	95	95
24.0	2,59563	100	100
25.0	2,595638	92	92
26.0	2,595644	77	77
27.0	2,595647	69	69
28.0	2,595649	68	68
29.0	2,59565	54	54
30.0	2,595651	58	58
31.0	2,595651	60	60
32.0	2,595652	59	59
33.0	2,595652	49	49
34.0	2,595652	45	45
35.0	2,595652	39	39
36.0	2,595652	47	47
37.0	2,595652	40	40
38.0	2,595652	27	27
39.0	2,595652	41	41
40.0	2,595652	29	29
41.0	2,595652	27	27
42.0	2,595652	33	33
43.0	2,595652	16	16
44.0	2,595652	23	23
45.0	2,595652	20	20
46.0	2,595652	32	32
47.0	2,595652	24	24
48.0	2,595652	24	24
49.0	2,595652	18	18
50.0	2,595652	26	26
51.0	2,595652	15	15
52.0	2,595652	21	21
53.0	2,595652	23	23
54.0	2,595652	19	19
55.0	2,595652	22	22
56.0	2,595652	21	21
57.0	2,595652	27	27
58.0	2,595652	19	19
59.0	2,595652	11	11
60.0	2,595652	14	14
61.0	2,595652	10	10
62.0	2,595652	13	13
63.0	2,595652	13	13
64.0	2,595652	12	12
65.0	2,595652	15	15
66.0	2,595652	10	10
67.0	2,595652	15	15
68.0	2,595652	16	16
69.0	2,595652	10	10
70.0	2,595652	20	20
71.0	2,595652	22	22
72.0	2,595652	14	14
73.0	2,595652	8	8
74.0	2,595652	9	9
75.0	2,595652	15	15
76.0	2,595652	13	13
77.0	2,595652	11	11
78.0	2,595652	8	8
79.0	2,595652	4	4
80.0	2,595652	6	6
81.0	2,595652	6	6
82.0	2,595652	7	7
83.0	2,595652	11	11
84.0	2,595652	6	6
85.0	2,595652	4	4
86.0	2,595652	6	6
87.0	2,595652	6	6
88.0	2,595652	5	5
89.0	2,595652	10	10
90.0	2,595652	7	7
91.0	2,595652	9	9
92.0	2,595652	3	3
93.0	2,595652	4	4
94.0	2,595652	10	10
95.0	2,595652	1	1
96.0	2,595652	6	6
97.0	2,595652	5	5
98.0	2,595652	4	4
99.0	2,595652	1	1
100.0	2,595652	1	1
101.0	0	9	9
102.0	0	9	9
103.0	0	3	3
104.0	0	3	3
105.0	0	5	5
106.0	0	3	3
107.0	0	1	1
108.0	0	3	3
109.0	0	8	8
110.0	0	3	3
111.0	0	4	4
112.0	0	2	2
113.0	0	6	6
114.0	0	4	4
115.0	0	6	6
116.0	0	4	4
117.0	0	4	4
118.0	0	2	2
119.0	0	4	4
120.0	0	4	4
121.0	0	7	7
122.0	0	1	1
123.0	0	2	2
124.0	0	5	5
125.0	0	3	3
126.0	0	5	5
127.0	0	3	3
128.0	0	3	3
129.0	0	3	3
130.0	0	3	3
131.0	0	2	2
132.0	0	4	4
133.0	0	2	2
134.0	0	2	2
136.0	0	3	3
137.0	0	4	4
138.0	0	2	2
139.0	0	1	1
140.0	0	4	4
141.0	0	5	5
142.0	0	1	1
143.0	0	2	2
145.0	0	3	3
146.0	0	4	4
147.0	0	3	3
148.0	0	5	5
149.0	0	3	3
150.0	0	3	3
151.0	0	3	3
152.0	0	2	2
154.0	0	1	1
155.0	0	1	1
156.0	0	1	1
157.0	0	2	2
158.0	0	4	4
159.0	0	2	2
160.0	0	1	1
161.0	0	1	1
162.0	0	1	1
163.0	0	2	2
164.0	0	1	1
165.0	0	1	1
169.0	0	1	1
170.0	0	2	2
171.0	0	2	2
172.0	0	2	2
173.0	0	1	1
174.0	0	1	1
176.0	0	1	1
177.0	0	2	2
180.0	0	1	1
181.0	0	1	1
182.0	0	2	2
183.0	0	1	1
184.0	0	2	2
185.0	0	1	1
187.0	0	1	1
188.0	0	1	1
189.0	0	4	4
191.0	0	4	4
192.0	0	1	1
193.0	0	1	1
194.0	0	1	1
198.0	0	1	1
199.0	0	2	2
200.0	0	2	2
201.0	0	2	2
202.0	0	1	1
203.0	0	3	3
205.0	0	1	1
209.0	0	4	4
212.0	0	1	1
214.0	0	1	1
215.0	0	2	2
216.0	0	1	1
217.0	0	2	2
219.0	0	1	1
220.0	0	3	3
221.0	0	1	1
222.0	0	4	4
223.0	0	1	1
224.0	0	1	1
225.0	0	1	1
230.0	0	1	1
233.0	0	1	1
234.0	0	1	1
237.0	0	1	1
238.0	0	1	1
239.0	0	1	1
241.0	0	3	3
242.0	0	2	2
244.0	0	1	1
245.0	0	1	1
246.0	0	1	1
250.0	0	1	1
254.0	0	1	1
256.0	0	1	1
260.0	0	1	1
261.0	0	1	1
267.0	0	1	1
270.0	0	1	1
274.0	0	1	1
275.0	0	1	1
276.0	0	1	1
278.0	0	2	2
280.0	0	1	1
285.0	0	1	1
287.0	0	1	1
289.0	0	2	2
290.0	0	2	2
296.0	0	1	1
298.0	0	1	1
300.0	0	1	1
307.0	0	1	1
311.0	0	1	1
312.0	0	1	1
317.0	0	1	1
320.0	0	1	1
330.0	0	1	1
337.0	0	1	1
339.0	0	1	1
340.0	0	1	1
344.0	0	1	1
348.0	0	2	2
350.0	0	1	1
351.0	0	1	1
355.0	0	1	1
356.0	0	1	1
369.0	0	1	1
380.0	0	1	1
381.0	0	1	1
384.0	0	1	1
389.0	0	1	1
392.0	0	1	1
394.0	0	1	1
395.0	0	1	1
400.0	0	1	1
428.0	0	1	1
429.0	0	1	1
436.0	0	1	1
460.0	0	1	1
470.0	0	1	1
499.0	0	1	1
507.0	0	1	1
520.0	0	1	1
528.0	0	1	1
539.0	0	1	1
548.0	0	1	1
568.0	0	1	1
584.0	0	2	2
594.0	0	1	1
595.0	0	1	1
599.0	0	1	1
617.0	0	1	1
623.0	0	1	1
646.0	0	1	1
669.0	0	1	1
832.0	0	1	1
1365.0	0	1	1

