## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT Output/BAM/SRR6956533.filtered.bam --OUTPUT Output/BAM/SRR6956533.removeddup.bam --METRICS_FILE logs/SRR6956533_picard.out --REMOVE_DUPLICATES true --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 28 01:14:44 CET 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	8096096	0	0	0	1191174	0	0,147129	24742876

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	5890648	5890648
2.0	1,720933	864196	864196
3.0	2,240677	127883	127883
4.0	2,615378	18744	18744
5.0	2,885512	2811	2811
6.0	3,080261	468	468
7.0	3,220661	91	91
8.0	3,321881	35	35
9.0	3,394853	8	8
10.0	3,447461	9	9
11.0	3,485388	5	5
12.0	3,512731	5	5
13.0	3,532444	6	6
14.0	3,546655	2	2
15.0	3,5569	0	0
16.0	3,564287	2	2
17.0	3,569612	1	1
18.0	3,57345	2	2
19.0	3,576218	0	0
20.0	3,578213	1	1
21.0	3,579652	0	0
22.0	3,580689	0	0
23.0	3,581437	0	0
24.0	3,581976	0	0
25.0	3,582364	0	0
26.0	3,582644	0	0
27.0	3,582846	1	1
28.0	3,582992	0	0
29.0	3,583097	0	0
30.0	3,583172	0	0
31.0	3,583227	1	1
32.0	3,583266	0	0
33.0	3,583295	0	0
34.0	3,583315	1	1
35.0	3,58333	1	1
36.0	3,58334	1	1
37.0	3,583348	0	0
38.0	3,583354	0	0
39.0	3,583358	0	0
40.0	3,583361	0	0
41.0	3,583363	0	0
42.0	3,583364	0	0
43.0	3,583365	0	0
44.0	3,583366	0	0
45.0	3,583366	0	0
46.0	3,583367	0	0
47.0	3,583367	0	0
48.0	3,583367	0	0
49.0	3,583368	0	0
50.0	3,583368	0	0
51.0	3,583368	0	0
52.0	3,583368	0	0
53.0	3,583368	0	0
54.0	3,583368	0	0
55.0	3,583368	0	0
56.0	3,583368	0	0
57.0	3,583368	0	0
58.0	3,583368	0	0
59.0	3,583368	0	0
60.0	3,583368	0	0
61.0	3,583368	0	0
62.0	3,583368	0	0
63.0	3,583368	0	0
64.0	3,583368	0	0
65.0	3,583368	0	0
66.0	3,583368	0	0
67.0	3,583368	0	0
68.0	3,583368	0	0
69.0	3,583368	0	0
70.0	3,583368	0	0
71.0	3,583368	0	0
72.0	3,583368	0	0
73.0	3,583368	0	0
74.0	3,583368	0	0
75.0	3,583368	0	0
76.0	3,583368	0	0
77.0	3,583368	0	0
78.0	3,583368	0	0
79.0	3,583368	0	0
80.0	3,583368	0	0
81.0	3,583368	0	0
82.0	3,583368	0	0
83.0	3,583368	0	0
84.0	3,583368	0	0
85.0	3,583368	0	0
86.0	3,583368	0	0
87.0	3,583368	0	0
88.0	3,583368	0	0
89.0	3,583368	0	0
90.0	3,583368	0	0
91.0	3,583368	0	0
92.0	3,583368	0	0
93.0	3,583368	0	0
94.0	3,583368	0	0
95.0	3,583368	0	0
96.0	3,583368	0	0
97.0	3,583368	0	0
98.0	3,583368	0	0
99.0	3,583368	0	0
100.0	3,583368	0	0

